customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
134,Justin Reid,melindafrench@example.net,001-715-711-8087x4984,"4903 Williams Mount
East Joseph, NY 78328",2024-11-02,False,Chinese,11,1.4
970,April Powers,melissa18@example.net,509.807.6064x40867,"51761 Burns Ports
Marychester, NH 76089",2024-09-12,True,Chinese,34,2.2
509,Kristin Smith,andersontodd@example.com,+1-432-462-5739x09577,"3633 Rosario Way
Cooperport, WA 58948",2024-06-10,True,Indian,30,3.3
454,Jordan Hernandez,cantucrystal@example.net,001-933-859-0348x2154,"667 Kathleen Groves Suite 630
Paulmouth, WI 10278",2024-05-24,True,Italian,38,3.6
912,Christopher Thomas,david83@example.com,001-709-669-7523x725,"60798 Jay Ranch Suite 251
Camerontown, NY 63524",2024-09-01,False,Indian,18,4.3
974,David Williams,tracy80@example.com,272-825-5757,"78993 Steven Locks
Lake Brandonstad, NM 64307",2024-10-22,True,Italian,18,1.8
154,Kelsey Sweeney,barnesdanielle@example.org,(367)567-7477x05078,"464 William Meadow Suite 426
Port Rebeccaport, ME 60938",2024-01-03,True,Mexican,45,2.7
466,Cody Garcia,lorraine53@example.com,(320)930-3688,"43425 Joseph Alley Apt. 212
Lake Jefferyfort, NV 46828",2024-11-08,True,Indian,33,4.8
778,Michael Clark,david67@example.org,001-824-603-2570x84163,"84473 David Corner Apt. 894
East Ryan, KS 92033",2024-03-05,False,Mexican,22,1.8
634,Justin Jenkins,joseph13@example.net,675-617-8428x58199,"226 Miller Fords
Frankchester, DC 80408",2024-03-31,False,Indian,41,2.1
541,Kenneth Peters,valdezconnie@example.net,288.453.9452x954,"6636 Santos Mill
West Matthewton, MA 10425",2024-10-18,True,Thai,34,4.6
16,Kelly Phillips,sherireyes@example.org,8788882788,"7947 Dillon Radial
West Jamie, TN 05712",2024-01-18,True,Mexican,38,3.1
896,Marie Henderson,dwayne21@example.com,931-814-8954,"24040 Jennifer Mill
South Ashley, NJ 12425",2024-04-13,False,Mexican,47,2.6
335,Courtney Waters,reevestabitha@example.org,340-820-4019x849,"9492 Jennifer Estates
New Marco, WA 52735",2024-04-21,True,Italian,7,1.6
500,Dr. Kristen Owens,timothy64@example.org,366-409-6873,"Unit 7817 Box 2869
DPO AP 73463",2024-09-06,True,Italian,33,3.7
829,Richard Ayers,ronniefrench@example.org,259-278-9214x60038,"949 Cross Underpass
East Catherinemouth, AL 15535",2023-12-21,True,Chinese,46,2.7
891,Benjamin Robinson,gonzalezmaria@example.org,+1-894-507-4171x858,"36487 Kelly Extensions
East Patriciaview, IL 45153",2024-10-23,True,Italian,4,1.2
805,John Cross,ghiggins@example.org,271.247.5793x836,"2609 Stevens Branch
Joseberg, IL 23925",2024-05-21,False,Indian,22,2.5
554,Joseph Martinez,bsolis@example.org,689-958-3607,"07397 Duke Summit Suite 043
North Rubenbury, MT 81328",2024-05-04,True,Mexican,33,3.3
800,Jim Smith,joshua70@example.org,+1-728-280-0686x37353,"4781 Nicholas View Suite 876
East Anashire, NE 89486",2024-11-18,True,Italian,4,2.7
489,Crystal Smith,sophiabrown@example.org,205-401-1562,"485 Chase Shores Apt. 713
Brownberg, AL 22852",2024-08-22,False,Chinese,38,2.8
519,Kenneth Davis,garrettkeith@example.net,559.937.6668x67195,"403 Walton Place
Martinezport, WI 57302",2024-09-16,False,Italian,44,3.6
694,Emily Murphy,aaron54@example.net,(993)550-0741x0984,"505 Whitehead Camp
East Davidburgh, MH 10881",2024-08-04,True,Thai,37,4.6
20,Joshua Ortiz,gross@example.org,001-920-725-0730x291,"153 Mason Plains Apt. 839
North Michael, PA 27187",2024-04-22,False,Indian,27,2.3
841,Steven Berry,gordonerica@example.net,(399)544-1809,"USNS Nelson
FPO AA 33943",2024-06-30,True,Mexican,40,4.7
626,Curtis Craig,peter58@example.net,339.766.4048x7418,"8032 Valdez Groves
Williambury, FM 44231",2024-07-30,False,Mexican,36,1.5
420,Alicia Oneill,meyerskaitlin@example.com,760.294.6230,"56909 Tamara Shore
Port Nicoleton, MA 44202",2024-10-05,False,Indian,37,1.9
884,Michael Rogers,bgordon@example.com,(836)348-0885x445,"9142 James Drive Suite 824
South Victorfurt, OH 14358",2024-10-19,True,Mexican,37,1.7
526,Richard Oliver,houstonmark@example.net,800-452-8728x8469,"60973 John Orchard
Nashfurt, LA 44571",2024-03-10,True,Thai,40,1.6
994,Diana Campbell,katrina11@example.com,750.360.8419,"06939 Heather Fall Apt. 004
Fosterstad, DE 73408",2024-10-15,True,Chinese,3,1.2
493,Brian Williams,james69@example.com,884-817-3221,"13578 Vincent Point
East Robinburgh, LA 82337",2024-06-20,True,Indian,21,1.8
611,Laura Peterson,vickiesmith@example.net,(674)658-2278x681,"200 Bruce Path
Riveraport, MH 47976",2024-03-27,False,Italian,1,3.9
264,Sara Freeman,patricia78@example.org,994.555.0774x93908,"7849 Lopez Circles
Port William, SC 48134",2024-10-18,False,Mexican,21,1.3
350,Timothy Powell,joshuacarlson@example.com,472.222.9829x9821,"06096 Blackwell Mount
Joelborough, WI 81970",2024-08-04,True,Italian,1,4.4
885,Anna Ibarra,erica73@example.org,228.629.5303,"49784 Kathleen View Suite 144
West Jessicamouth, VA 80761",2024-04-12,False,Indian,49,2.5
